candidate_rank,package_name,download_count,summary,package_version_at_cutoff,package_build_at_cutoff,package_subdir,artifact_basename,artifact_sha256,repository_url,repository_mapping_source,repository_archived,snapshot_commit,primary_language,languages_json,upstream_project_id,executable_candidate,executable_confidence,interface_status,interface_evidence_json,input_families,output_families,data_requirement,provisionally_eligible,eligible_sequence,first_200_eligible,exclusion_code,review_status,notes
1,pysam,6368941,"Pysam is a Python module for reading and manipulating SAM/BAM/VCF/BCF files. It's a lightweight wrapper of the htslib C-API, the same one that powers samtools, bcftools, and tabix.",0.24.0,py39hbe927e6_1,linux-64,linux-64/pysam-0.24.0-py39hbe927e6_1.conda,578a41aa8c887d58ac4000f0cceb7a5a6502434899a51a86327ea723bdf0803c,https://github.com/pysam-developers/pysam,anaconda:home,False,b258009d0e4019184b2cca8fd1188e5610a4a818,Cython,"{""C"": 95096, ""Cython"": 665345, ""Makefile"": 3880, ""Python"": 439045, ""Shell"": 2341}",pysam-developers.pysam,,none,excluded,"[""repository-metadata:no-end-user-cli-found""]",SAM/BAM/CRAM;VCF,SAM/BAM/CRAM;VCF,UNKNOWN,False,,False,NO_END_USER_CLI,metadata_interface_reviewed,
2,samtools,3149192,"Tools for dealing with SAM, BAM and CRAM files",1.23.1,ha83d96e_0,linux-64,linux-64/samtools-1.23.1-ha83d96e_0.conda,2cb721907a2df7c54580298d655ae7587dbed593bd5536fa8ef4a22c9ae2a496,https://github.com/samtools/samtools,anaconda:home,False,4169f3343b7b20ea55fa415ce0c5eeb40f19d038,C,"{""C"": 1716954, ""C++"": 23584, ""Java"": 9223, ""Lua"": 28217, ""M4"": 43942, ""Makefile"": 19489, ""Perl"": 426013, ""Python"": 12306, ""Roff"": 1190, ""Shell"": 29836}",samtools.samtools,samtools,explicit_metadata,confirmed_end_user_cli,"[""bioconda-meta.yaml:test.commands:samtools""]",SAM/BAM/CRAM,SAM/BAM/CRAM,UNKNOWN,True,1,True,,metadata_interface_reviewed,
3,htslib,3007943,C library for high-throughput sequencing data formats.,1.23.1,h633afcb_0,linux-64,linux-64/htslib-1.23.1-h633afcb_0.conda,d0977efb1885c9f00ca76ee13e7c0f9a8936bf271eec25ffa78606cd816a13c9,https://github.com/samtools/htslib,anaconda:home,False,00a30cdb8db1f5832eb58a799383a462c6b58cb3,C,"{""C"": 3470947, ""C++"": 2487, ""M4"": 60778, ""Makefile"": 71573, ""Perl"": 104999, ""Python"": 7815, ""Roff"": 55381, ""Scilab"": 26449, ""Shell"": 28744}",samtools.htslib,,none,excluded,"[""upstream-description:library-only""]",UNKNOWN,UNKNOWN,UNKNOWN,False,,False,LIBRARY_ONLY,metadata_interface_reviewed,
4,last,2778629,LAST finds & aligns related regions of sequences.,1651,h7f5d12c_0,linux-64,linux-64/last-1651-h7f5d12c_0.conda,8ab905ed68358b96c2813dc055d1820628354f53c6ce313d1ab4060994287937,,,,,,{},,fastq-interleave;last-dotplot;last-map-probs;last-merge-batches;last-pair-probs;last-postmask;last-split;last-train;lastal;lastdb;maf-convert;maf-cut;maf-join;maf-sort;maf-swap;parallel-fasta;parallel-fastq,explicit_metadata,confirmed_end_user_cli,"[""bioconda-meta.yaml:test.commands:fastq-interleave"", ""bioconda-meta.yaml:test.commands:last-dotplot"", ""bioconda-meta.yaml:test.commands:last-map-probs"", ""bioconda-meta.yaml:test.commands:last-merge-batches"", ""bioconda-meta.yaml:test.commands:last-pair-probs"", ""bioconda-meta.yaml:test.commands:last-postmask"", ""bioconda-meta.yaml:test.commands:last-split"", ""bioconda-meta.yaml:test.commands:last-train"", ""bioconda-meta.yaml:test.commands:lastal"", ""bioconda-meta.yaml:test.commands:lastdb"", ""bioconda-meta.yaml:test.commands:maf-convert"", ""bioconda-meta.yaml:test.commands:maf-cut"", ""bioconda-meta.yaml:test.commands:maf-join"", ""bioconda-meta.yaml:test.commands:maf-sort"", ""bioconda-meta.yaml:test.commands:maf-swap"", ""bioconda-meta.yaml:test.commands:parallel-fasta"", ""bioconda-meta.yaml:test.commands:parallel-fastq""]",UNKNOWN,UNKNOWN,UNKNOWN,False,,False,SNAPSHOT_UNRESOLVED,metadata_interface_reviewed,
5,meme,2615296,Motif-based sequence analysis tools.,5.5.9,pl5321he99cc7f_1,linux-64,linux-64/meme-5.5.9-pl5321he99cc7f_1.conda,608ae50d41fa775446c218ebf65b747fa3071e02d37f6d4c2c2d2ee352ff9cef,,,,,,{},,centrimo;dreme;fimo;getsize;glam2;glam2scan;gomo;mast;mcast;meme;meme-chip;momo;spamo;streme;tomtom;xstreme,explicit_metadata,confirmed_end_user_cli,"[""bioconda-meta.yaml:test.commands:centrimo"", ""bioconda-meta.yaml:test.commands:dreme"", ""bioconda-meta.yaml:test.commands:fimo"", ""bioconda-meta.yaml:test.commands:getsize"", ""bioconda-meta.yaml:test.commands:glam2"", ""bioconda-meta.yaml:test.commands:glam2scan"", ""bioconda-meta.yaml:test.commands:gomo"", ""bioconda-meta.yaml:test.commands:mast"", ""bioconda-meta.yaml:test.commands:mcast"", ""bioconda-meta.yaml:test.commands:meme"", ""bioconda-meta.yaml:test.commands:meme-chip"", ""bioconda-meta.yaml:test.commands:momo"", ""bioconda-meta.yaml:test.commands:spamo"", ""bioconda-meta.yaml:test.commands:streme"", ""bioconda-meta.yaml:test.commands:tomtom"", ""bioconda-meta.yaml:test.commands:xstreme""]",UNKNOWN,UNKNOWN,UNKNOWN,False,,False,SNAPSHOT_UNRESOLVED,metadata_interface_reviewed,
6,bowtie2,1978438,A fast and sensitive gapped read aligner.,2.5.5,ha27dd3b_0,linux-64,linux-64/bowtie2-2.5.5-ha27dd3b_0.conda,64c666e17228b41c1d4a7ab0ad505b58f50e2ff2e08f22cb2bbbd289090296e4,https://github.com/BenLangmead/bowtie2,anaconda:dev_url,False,80e101112461b3adea6c7453e28e89d8724b8cb5,C++,"{""C"": 47471, ""C++"": 2716222, ""CMake"": 10370, ""Makefile"": 21497, ""Perl"": 460718, ""Python"": 48655, ""Shell"": 33219}",benlangmead.bowtie2,bowtie2;bowtie2-align-l;bowtie2-align-s;bowtie2-build;bowtie2-build-l;bowtie2-build-s;bowtie2-inspect;bowtie2-inspect-l;bowtie2-inspect-s,explicit_metadata,confirmed_end_user_cli,"[""bioconda-meta.yaml:test.commands:bowtie2"", ""bioconda-meta.yaml:test.commands:bowtie2-align-l"", ""bioconda-meta.yaml:test.commands:bowtie2-align-s"", ""bioconda-meta.yaml:test.commands:bowtie2-build"", ""bioconda-meta.yaml:test.commands:bowtie2-build-l"", ""bioconda-meta.yaml:test.commands:bowtie2-build-s"", ""bioconda-meta.yaml:test.commands:bowtie2-inspect"", ""bioconda-meta.yaml:test.commands:bowtie2-inspect-l"", ""bioconda-meta.yaml:test.commands:bowtie2-inspect-s"", ""repository:README:documented-command""]",UNKNOWN,UNKNOWN,UNKNOWN,True,2,True,,metadata_interface_reviewed,
7,harpy,1739657,"Process linked-read or WGS data, from raw sequences to phased haplotypes.",4.1.1,py313hb192632_0,linux-64,linux-64/harpy-4.1.1-py313hb192632_0.conda,d90926ccd54e05f46725ac6a85c7be2534bac49e2c93212e6b2466022432d446,https://github.com/pdimens/harpy,anaconda:dev_url,False,9ab9b93a864572a7638d3fcfce38c45e245fe79e,Python,"{""Go"": 38350, ""Jupyter Notebook"": 205345, ""Python"": 550879, ""Shell"": 3503}",pdimens.harpy,harpy;harpy-utils;hv,explicit_metadata,confirmed_end_user_cli,"[""repository:README:documented-command"", ""repository:pyproject.toml:declared-executable:harpy"", ""repository:pyproject.toml:declared-executable:harpy-utils"", ""repository:pyproject.toml:declared-executable:hv""]",UNKNOWN,report/plot,UNKNOWN,True,3,True,,metadata_interface_reviewed,
8,picard,1490870,Java tools for working with NGS data in the BAM format,3.4.0,hdfd78af_0,noarch,noarch/picard-3.4.0-hdfd78af_0.tar.bz2,0f04c90658e2107e36292a18be489221eec868adc1f5c3c6be5068d905159781,https://github.com/broadinstitute/picard,anaconda:dev_url,False,dc7f254babaa6ebed1c1e57169465fa119c51b07,Java,"{""CSS"": 3608, ""Dockerfile"": 857, ""HTML"": 11372, ""Java"": 6401865, ""Python"": 17559, ""R"": 26294, ""Rez"": 7, ""Shell"": 10583, ""XSLT"": 22469}",broadinstitute.picard,picard,explicit_metadata,confirmed_end_user_cli,"[""repository:README:documented-command""]",SAM/BAM/CRAM,SAM/BAM/CRAM,UNKNOWN,True,4,True,,metadata_interface_reviewed,
9,bedtools,1479039,A powerful toolset for genome arithmetic,2.31.1,h13024bc_3,linux-64,linux-64/bedtools-2.31.1-h13024bc_3.tar.bz2,d8b7aef31be37da761a87e1263ea00d62b67134b546f018067786aa6d3dccfac,https://github.com/arq5x/bedtools2,bioconda:source_url,False,614e9a5c5935ab86e873dab9072fbbaf003c1b7e,C,"{""C"": 1830583, ""C++"": 1257237, ""HTML"": 54055, ""M4"": 23683, ""Makefile"": 60214, ""Python"": 7039, ""Roff"": 26944, ""Shell"": 368162}",arq5x.bedtools2,,none,excluded,"[""upstream-description:library-only""]",FASTA,FASTA,UNKNOWN,False,,False,LIBRARY_ONLY,metadata_interface_reviewed,
10,bcftools,1458200,"BCFtools is a set of utilities that manipulate variant calls in the Variant Call Format (VCF) and its binary counterpart BCF. All commands work transparently with both VCFs and BCFs, both uncompressed and BGZF-compressed.  Most commands accept VCF, bgzipped VCF and BCF with filetype detected automatically even when streaming from a pipe. Indexed VCF and BCF will work in all situations. Un-indexed VCF and BCF and streams will work in most, but not all situations.",1.23.1,hb2cee57_0,linux-64,linux-64/bcftools-1.23.1-hb2cee57_0.conda,7a1727a4c13a30437d6dabe9aa821d0d5fd0e4a49233cc82e8b10977ceb7efb7,https://github.com/samtools/bcftools,anaconda:home,False,7813ff9933ae6d56ae29330adbe4d49e7792a550,C,"{""Batchfile"": 4882, ""C"": 3571339, ""M4"": 25491, ""Makefile"": 20524, ""Perl"": 436871, ""Python"": 27398, ""Shell"": 44494}",samtools.bcftools,bcftools,explicit_metadata,confirmed_end_user_cli,"[""bioconda-meta.yaml:test.commands:bcftools""]",VCF,VCF,UNKNOWN,True,5,True,,metadata_interface_reviewed,
