candidate_rank,pkg_name,download_count
1,pysam,6368941
2,samtools,3149192
3,htslib,3007943
4,last,2778629
5,meme,2615296
6,bowtie2,1978438
7,harpy,1739657
8,picard,1490870
9,bedtools,1479039
10,bcftools,1458200
11,diamond,1381357
12,bbmap,1231257
13,blast,1228412
14,hmmer,1172583
15,peptide-shaker,1078300
16,star,963021
17,viennarna,841634
18,deeptools,741203
19,bwa,738168
20,htseq,726770
21,pybedtools,694264
22,genenotebook,687476
23,raxml,654094
24,ncbi-vdb,645318
25,perl-json-xs,643933
26,fasttree,638721
27,perl-io-compress,588723
28,cyvcf2,585145
29,snakemake-minimal,574793
30,perl-json,563260
31,entrez-direct,561279
32,dxpy,556873
33,stringtie,542003
34,perl-list-moreutils,528798
35,perl-list-moreutils-xs,527735
36,perl-archive-tar,526724
37,genoboo,524069
38,perl-types-serialiser,513715
39,perl-io-zlib,509361
40,r-saige,502600
41,freebayes,480655
42,abyss,476550
43,unicycler,468956
44,fastqc,463980
45,hyphy,444352
46,bioconductor-biocgenerics,442017
47,snakemake,438972
48,bioconductor-s4vectors,421600
49,ucsc-bedgraphtobigwig,419001
50,bioconductor-biobase,416603
51,searchgui,415745
52,foldseek,413806
53,star-fusion,412378
54,snakemake-interface-common,405894
55,genometools-genometools,405454
56,bioconductor-iranges,403505
57,snakemake-interface-storage-plugins,403121
58,snakemake-interface-executor-plugins,401130
59,snakemake-interface-report-plugins,393983
60,vcftools,393528
61,augustus,393025
62,bioconductor-xvector,388966
63,prophyle,380662
64,ucsc-fatotwobit,374291
65,bowtie,358097
66,aria2,355988
67,mafft,354474
68,primer3,348771
69,bioconductor-genomicranges,344013
70,bioconductor-genomeinfodb,339487
71,mmseqs2,334926
72,bioconductor-biocparallel,334206
73,minimap2,331986
74,bioconductor-delayedarray,331374
75,bioconductor-summarizedexperiment,328476
76,bioconductor-zlibbioc,328147
77,pyfaidx,327825
78,bioconductor-biostrings,323195
79,spades,320961
80,bioconductor-matrixgenerics,320104
81,bioconductor-genomeinfodbdata,318789
82,snakemake-interface-logger-plugins,318254
83,slow5tools,315963
84,gmap,309068
85,bioconductor-data-packages,308547
86,k8,308241
87,seqkit,300153
88,multiqc,297576
89,muscle,292218
90,bioconductor-s4arrays,284795
91,cooltools,284054
92,bioconductor-sparsearray,281461
93,cutadapt,275692
